Reference, Quantity, Value, Footprint, Datasheet, Mouser
C102 C103 ,2,"2.2u","violet:C_0603b","~","963-LMK107B7225MA-TR"
C12 C11 C21 C20 C13 C9 C7 C127 C34 C33 C56 C59 C61 C63 C79 C81 C80 C86 C95 C96 C107 C106 C108 C104 C105 C109 ,26,"100n","violet:C_0402b","~","80-C0402C104K4REAUTO"
C124 ,1,"680p","violet:C_0402b","~","80-C0402S681K5RAUTO"
C126 C23 C24 C27 C28 C36 C64 C73 ,8,"10p","violet:C_0402b","~","80-C0402C100J5GAUTLR"
C130 ,1,"0.1u","violet:C_0603b","~","80-C0603C104J4RECTU"
C132 ,1,"47p","violet:C_0402b","~","80-C0402C470J3RAUTO"
C15 C14 C18 C17 C10 C8 C5 C4 C125 C29 C22 C91 C97 C99 ,14,"100p","violet:C_0402b","~","80-C0402C101J5G7411"
C16 ,1,"2.7n","violet:C_0402b","~","80-C0402C272J8RAUTO"
C19 ,1,"47n","violet:C_0402b","~","80-C0402C473K4RAUTO"
C2 C1 C3 C128 C129 C25 C26 C31 C37 C39 C49 C65 C60 C78 C83 C84 ,16,"1n","violet:C_0402b","~","80-C0402S102K5R7867"
C30 ,1,"1000p","violet:C_0402b","~","80-C0402S102K5R7867"
C32 C57 L3 L4 C100 C101 C110 C114 C111 C115 C122 C121 C123 C120 ,14,"1u","violet:C_0603b","~","80-C0603C105K9R7411"
C35 C62 C89 C112 C118 C119 C113 C116 C117 ,9,"10u","violet:C_0603b","~","80-C0603C106M8PACTU"
C41 C46 C40 ,3,"4.9p","violet:C_0402b","~","80-CBR04C499B5GAC"
C44 C47 C42 ,3,"0.5p","violet:C_0402b","~","80-C0402C508B5GACTU"
C45 C48 C43 ,3,"4.5p","violet:C_0402b","~","80-CBR04C459B5GAC"
C50 C52 C54 C53 ,4,"2p","violet:C_0402b","~","80-C0402C209D5GAUTO"
C51 C55 ,2,"0.1u","violet:C_0402b","~","80-C0402C104J8RAUTO"
C6 C38 C58 C66 C70 C85 C88 ,7,"10n","violet:C_0402b","~","80-C0402C103J3RAUTO"
C67 ,1,"180p","violet:C_0402b","~","80-C0402C181J3GACTU"
C68 ,1,"8.2p","violet:C_0402b","~","80-CBR04C829B5GAC"
C69 C72 C74 C77 C76 C82 C87 C131 ,8,"33p","violet:C_0402b","~","80-C0402C330F5GC3121"
C71 C75 ,2,"330p","violet:C_0402b","~","80-C0402S331K5R7867"
C90 C93 C94 ,3,"18p","violet:C_0402b","~","80-C0402C180F5GACTU"
C92 ,1,"36p","violet:C_0402b","~","80-C0402C360M8HACTU"
C98 ,1,"220p","violet:C_0402b","~","80-C0402S221K5RAUTO"
D1 ,1,"DIODE","Diode_SMD:D_SOD-123","~","621-BAV16W-F"
FB2 FB8 FB9 FB10 FB1 FB3 FB4 FB5 FB6 ,9,"Ferrite_Bead_Small","violet:C_0603b","~","810-MAF1608GAD601CT0"
FB7 ,1,"Ferrite_Bead","violet:C_0805b","~","81-BLM21SP111SN1D"
H1 H2 H3 H4 ,4,"MountingHole","violet:MountingHole_2.7mm_M2.5_uHAT_RPi","~","~"
J1 ,1,"Conn_02x20_Odd_Even","violet:PinSocket_2x20_P2.54mm_Vertical_Centered_Anchor","~","~"
L1 L2 ,2,"100n","violet:C_0603b","~","810-MLJ1608WR10JT000"
P2 P1 ,2,"SMA","violet:CONSMA003.062","","712-CONSMA003.062-G"
R1 R17 R16 R15 R12 R13 R14 R20 R18 R19 R21 R38 R39 ,13,"49.9","violet:R_0402b","~","71-RCS040249R9FKED"
R11 R31 ,2,"1.8","violet:R_0402b","~","603-AC0402FR-071R8L"
R22 R23 R25 R24 ,4,"5k","violet:R_0402b","~","603-RC0402FR-075KL"
R26 ,1,"1M","violet:R_0402b","~","71-CRCW04021M00FKEDC"
R27 R28 R29 R30 ,4,"33","violet:R_0402b","~","71-CRCW040233R0FKEDC"
R3 R2 R34 R35 R46 ,5,"10k","violet:R_0402b","~","71-CRCW040210K0FKEDC"
